30
-
26;27;N
-
28;6;N;Przeciwnik1
19;10;N;Przeciwnik2
20;27;N;Przeciwnik3
18;23;N;Przeciwnik4
28;26;N;Przeciwnik5
22;9;N;Przeciwnik6
-
24;0
25;0
24;1
10;11
11;11
10;12
17;0
18;0
17;1
21;5
22;5
21;6
3;19
4;19
3;20
23;10
24;10
23;11
3;1
4;1
3;2
1;11
2;11
1;12
1;7
2;7
1;8
25;17
26;17
25;18
5;12
6;12
5;13
21;5
22;5
21;6
14;26
15;26
14;27
24;2
25;2
24;3
25;23
26;23
25;24
-
7;24
7;17
2;28
5;16
18;3
10;26
3;4
10;14
3;14
4;14
16;17
1;16
23;28
28;11
6;6
16;8
27;16
17;9
10;3
14;13
5;28
14;19
20;6
15;15
27;11
22;18
2;19
1;5
11;8
13;16
3;25
9;2
26;4
7;14
16;7
27;7
11;19
17;16
22;10
26;7
27;26
13;26
8;18
10;6
0;23
25;14
24;28
12;6
9;26
15;18
12;25
8;16
7;10
28;21
1;2
4;4
28;9
14;18
1;17
17;4
